era,set_name,abbreviation,group_id,productId,name,cleanName,number,rarity,cardType,hp,stage,subTypeName,marketPrice,lowPrice,midPrice,pokebulb_price
Scarlet & Violet,SV: White Flare,WHT,24326,642388,Joltik (Poke Ball Pattern),Joltik Poke Ball Pattern,033/086,Common,Lightning,40,Basic,Holofoil,0.28,0.05,0.34,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642145,Joltik,Joltik,033/086,Common,Lightning,40,Basic,Normal,0.14,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642145,Joltik,Joltik,033/086,Common,Lightning,40,Basic,Reverse Holofoil,0.14,0.03,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642317,Galvantula (Master Ball Pattern),Galvantula Master Ball Pattern,034/086,Uncommon,Lightning,90,Stage 1,Holofoil,7.86,7.4,9.18,9.0
Scarlet & Violet,SV: White Flare,WHT,24326,642389,Galvantula (Poke Ball Pattern),Galvantula Poke Ball Pattern,034/086,Uncommon,Lightning,90,Stage 1,Holofoil,0.58,0.29,0.63,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642146,Galvantula,Galvantula,034/086,Uncommon,Lightning,90,Stage 1,Normal,0.09,0.01,0.14,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642146,Galvantula,Galvantula,034/086,Uncommon,Lightning,90,Stage 1,Reverse Holofoil,0.21,0.06,0.23,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642318,Stunfisk (Master Ball Pattern),Stunfisk Master Ball Pattern,035/086,Uncommon,Lightning,110,Basic,Holofoil,8.62,8.09,10.52,9.5
Scarlet & Violet,SV: White Flare,WHT,24326,642390,Stunfisk (Poke Ball Pattern),Stunfisk Poke Ball Pattern,035/086,Uncommon,Lightning,110,Basic,Holofoil,0.42,0.2,0.49,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642147,Stunfisk,Stunfisk,035/086,Uncommon,Lightning,110,Basic,Normal,0.05,0.01,0.14,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642147,Stunfisk,Stunfisk,035/086,Uncommon,Lightning,110,Basic,Reverse Holofoil,0.15,0.05,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642319,Woobat (Master Ball Pattern),Woobat Master Ball Pattern,036/086,Common,Psychic,60,Basic,Holofoil,2.33,2.0,3.28,3.0
Scarlet & Violet,SV: White Flare,WHT,24326,642391,Woobat (Poke Ball Pattern),Woobat Poke Ball Pattern,036/086,Common,Psychic,60,Basic,Holofoil,0.31,0.05,0.31,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642148,Woobat,Woobat,036/086,Common,Psychic,60,Basic,Normal,0.05,0.01,0.12,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642148,Woobat,Woobat,036/086,Common,Psychic,60,Basic,Reverse Holofoil,0.17,0.02,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642320,Swoobat (Master Ball Pattern),Swoobat Master Ball Pattern,037/086,Uncommon,Psychic,90,Stage 1,Holofoil,9.68,7.75,9.63,11.0
Scarlet & Violet,SV: White Flare,WHT,24326,642392,Swoobat (Poke Ball Pattern),Swoobat Poke Ball Pattern,037/086,Uncommon,Psychic,90,Stage 1,Holofoil,0.43,0.15,0.5,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642149,Swoobat,Swoobat,037/086,Uncommon,Psychic,90,Stage 1,Normal,0.1,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642149,Swoobat,Swoobat,037/086,Uncommon,Psychic,90,Stage 1,Reverse Holofoil,0.23,0.09,0.24,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642321,Sigilyph (Master Ball Pattern),Sigilyph Master Ball Pattern,038/086,Uncommon,Psychic,120,Basic,Holofoil,8.0,14.9,14.95,9.0
Scarlet & Violet,SV: White Flare,WHT,24326,642393,Sigilyph (Poke Ball Pattern),Sigilyph Poke Ball Pattern,038/086,Uncommon,Psychic,120,Basic,Holofoil,0.45,0.2,0.45,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642150,Sigilyph,Sigilyph,038/086,Uncommon,Psychic,120,Basic,Normal,0.07,0.01,0.12,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642150,Sigilyph,Sigilyph,038/086,Uncommon,Psychic,120,Basic,Reverse Holofoil,0.19,0.09,0.23,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642322,Yamask (Master Ball Pattern),Yamask Master Ball Pattern,039/086,Common,Psychic,70,Basic,Holofoil,2.94,1.85,3.0,3.5
Scarlet & Violet,SV: White Flare,WHT,24326,642394,Yamask (Poke Ball Pattern),Yamask Poke Ball Pattern,039/086,Common,Psychic,70,Basic,Holofoil,0.26,0.07,0.29,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642151,Yamask,Yamask,039/086,Common,Psychic,70,Basic,Normal,0.05,0.01,0.12,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642151,Yamask,Yamask,039/086,Common,Psychic,70,Basic,Reverse Holofoil,0.16,0.02,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642152,Cofagrigus,Cofagrigus,040/086,Rare,Psychic,120,Stage 1,Holofoil,0.12,0.01,0.16,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642323,Cofagrigus (Master Ball Pattern),Cofagrigus Master Ball Pattern,040/086,Rare,Psychic,120,Stage 1,Holofoil,10.56,9.51,11.22,12.0
Scarlet & Violet,SV: White Flare,WHT,24326,642395,Cofagrigus (Poke Ball Pattern),Cofagrigus Poke Ball Pattern,040/086,Rare,Psychic,120,Stage 1,Holofoil,0.39,0.23,0.5,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642152,Cofagrigus,Cofagrigus,040/086,Rare,Psychic,120,Stage 1,Reverse Holofoil,0.22,0.05,0.23,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642324,Gothita (Master Ball Pattern),Gothita Master Ball Pattern,041/086,Common,Psychic,70,Basic,Holofoil,2.14,1.7,2.5,2.5
Scarlet & Violet,SV: White Flare,WHT,24326,642396,Gothita (Poke Ball Pattern),Gothita Poke Ball Pattern,041/086,Common,Psychic,70,Basic,Holofoil,0.25,0.1,0.3,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642153,Gothita,Gothita,041/086,Common,Psychic,70,Basic,Normal,0.1,0.01,0.14,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642153,Gothita,Gothita,041/086,Common,Psychic,70,Basic,Reverse Holofoil,0.22,0.04,0.23,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642325,Gothorita (Master Ball Pattern),Gothorita Master Ball Pattern,042/086,Common,Psychic,90,Stage 1,Holofoil,11.43,10.5,13.0,13.0
Scarlet & Violet,SV: White Flare,WHT,24326,642397,Gothorita (Poke Ball Pattern),Gothorita Poke Ball Pattern,042/086,Common,Psychic,90,Stage 1,Holofoil,0.5,0.15,0.59,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642154,Gothorita,Gothorita,042/086,Common,Psychic,90,Stage 1,Normal,0.08,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642154,Gothorita,Gothorita,042/086,Common,Psychic,90,Stage 1,Reverse Holofoil,0.13,0.01,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642155,Gothitelle,Gothitelle,043/086,Rare,Psychic,150,Stage 2,Holofoil,0.18,0.01,0.19,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642326,Gothitelle (Master Ball Pattern),Gothitelle Master Ball Pattern,043/086,Rare,Psychic,150,Stage 2,Holofoil,11.67,11.0,15.59,13.0
Scarlet & Violet,SV: White Flare,WHT,24326,642398,Gothitelle (Poke Ball Pattern),Gothitelle Poke Ball Pattern,043/086,Rare,Psychic,150,Stage 2,Holofoil,0.57,0.29,0.58,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642155,Gothitelle,Gothitelle,043/086,Rare,Psychic,150,Stage 2,Reverse Holofoil,0.2,0.01,0.25,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642327,Frillish (Master Ball Pattern),Frillish Master Ball Pattern,044/086,Common,Psychic,80,Basic,Holofoil,3.04,2.68,3.5,3.5
Scarlet & Violet,SV: White Flare,WHT,24326,642399,Frillish (Poke Ball Pattern),Frillish Poke Ball Pattern,044/086,Common,Psychic,80,Basic,Holofoil,0.33,0.05,0.4,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642156,Frillish,Frillish,044/086,Common,Psychic,80,Basic,Normal,0.23,0.02,0.23,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642156,Frillish,Frillish,044/086,Common,Psychic,80,Basic,Reverse Holofoil,0.3,0.09,0.3,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642157,Jellicent ex,Jellicent ex,045/086,Double Rare,Psychic,270,Stage 1,Holofoil,0.62,0.19,0.8,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642328,Roggenrola (Master Ball Pattern),Roggenrola Master Ball Pattern,046/086,Common,Fighting,80,Basic,Holofoil,2.03,1.69,2.9,2.5
Scarlet & Violet,SV: White Flare,WHT,24326,642400,Roggenrola (Poke Ball Pattern),Roggenrola Poke Ball Pattern,046/086,Common,Fighting,80,Basic,Holofoil,0.26,0.01,0.3,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642158,Roggenrola,Roggenrola,046/086,Common,Fighting,80,Basic,Normal,0.07,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642158,Roggenrola,Roggenrola,046/086,Common,Fighting,80,Basic,Reverse Holofoil,0.12,0.01,0.18,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642329,Boldore (Master Ball Pattern),Boldore Master Ball Pattern,047/086,Common,Fighting,110,Stage 1,Holofoil,8.28,7.99,19.99,9.5
Scarlet & Violet,SV: White Flare,WHT,24326,642401,Boldore (Poke Ball Pattern),Boldore Poke Ball Pattern,047/086,Common,Fighting,110,Stage 1,Holofoil,0.4,0.14,0.46,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642159,Boldore,Boldore,047/086,Common,Fighting,110,Stage 1,Normal,0.1,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642159,Boldore,Boldore,047/086,Common,Fighting,110,Stage 1,Reverse Holofoil,0.18,0.02,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642330,Gigalith (Master Ball Pattern),Gigalith Master Ball Pattern,048/086,Uncommon,Fighting,170,Stage 2,Holofoil,8.82,7.12,10.18,10.0
Scarlet & Violet,SV: White Flare,WHT,24326,642402,Gigalith (Poke Ball Pattern),Gigalith Poke Ball Pattern,048/086,Uncommon,Fighting,170,Stage 2,Holofoil,0.43,0.2,0.5,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642160,Gigalith,Gigalith,048/086,Uncommon,Fighting,170,Stage 2,Normal,0.04,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642160,Gigalith,Gigalith,048/086,Uncommon,Fighting,170,Stage 2,Reverse Holofoil,0.19,0.05,0.21,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642331,Sawk (Master Ball Pattern),Sawk Master Ball Pattern,049/086,Uncommon,Fighting,110,Basic,Holofoil,11.52,10.0,13.88,13.0
Scarlet & Violet,SV: White Flare,WHT,24326,642403,Sawk (Poke Ball Pattern),Sawk Poke Ball Pattern,049/086,Uncommon,Fighting,110,Basic,Holofoil,0.4,0.19,0.48,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642161,Sawk,Sawk,049/086,Uncommon,Fighting,110,Basic,Normal,0.09,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642161,Sawk,Sawk,049/086,Uncommon,Fighting,110,Basic,Reverse Holofoil,0.11,0.02,0.17,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642332,Archen (Master Ball Pattern),Archen Master Ball Pattern,050/086,Uncommon,Fighting,80,Stage 1,Holofoil,6.81,7.0,7.95,7.5
Scarlet & Violet,SV: White Flare,WHT,24326,642404,Archen (Poke Ball Pattern),Archen Poke Ball Pattern,050/086,Uncommon,Fighting,80,Stage 1,Holofoil,0.4,0.1,0.45,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642162,Archen,Archen,050/086,Uncommon,Fighting,80,Stage 1,Normal,0.08,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642162,Archen,Archen,050/086,Uncommon,Fighting,80,Stage 1,Reverse Holofoil,0.25,0.01,0.25,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642163,Archeops,Archeops,051/086,Rare,Fighting,140,Stage 2,Holofoil,0.12,0.01,0.18,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642333,Archeops (Master Ball Pattern),Archeops Master Ball Pattern,051/086,Rare,Fighting,140,Stage 2,Holofoil,9.71,8.5,10.91,11.0
Scarlet & Violet,SV: White Flare,WHT,24326,642405,Archeops (Poke Ball Pattern),Archeops Poke Ball Pattern,051/086,Rare,Fighting,140,Stage 2,Holofoil,0.45,0.2,0.48,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642163,Archeops,Archeops,051/086,Rare,Fighting,140,Stage 2,Reverse Holofoil,0.22,0.09,0.24,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642334,Mienfoo (Master Ball Pattern),Mienfoo Master Ball Pattern,052/086,Common,Fighting,60,Basic,Holofoil,2.16,1.75,3.03,2.5
Scarlet & Violet,SV: White Flare,WHT,24326,642406,Mienfoo (Poke Ball Pattern),Mienfoo Poke Ball Pattern,052/086,Common,Fighting,60,Basic,Holofoil,0.24,0.1,0.28,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642164,Mienfoo,Mienfoo,052/086,Common,Fighting,60,Basic,Normal,0.08,0.01,0.14,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642164,Mienfoo,Mienfoo,052/086,Common,Fighting,60,Basic,Reverse Holofoil,0.14,0.03,0.16,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642335,Mienshao (Master Ball Pattern),Mienshao Master Ball Pattern,053/086,Uncommon,Fighting,100,Stage 1,Holofoil,10.13,11.0,84.72,11.5
Scarlet & Violet,SV: White Flare,WHT,24326,642407,Mienshao (Poke Ball Pattern),Mienshao Poke Ball Pattern,053/086,Uncommon,Fighting,100,Stage 1,Holofoil,0.42,0.25,0.5,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642165,Mienshao,Mienshao,053/086,Uncommon,Fighting,100,Stage 1,Normal,0.04,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642165,Mienshao,Mienshao,053/086,Uncommon,Fighting,100,Stage 1,Reverse Holofoil,0.23,0.08,0.23,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642166,Terrakion,Terrakion,054/086,Rare,Fighting,140,Basic,Holofoil,0.09,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642336,Terrakion (Master Ball Pattern),Terrakion Master Ball Pattern,054/086,Rare,Fighting,140,Basic,Holofoil,6.7,7.54,9.74,7.5
Scarlet & Violet,SV: White Flare,WHT,24326,642408,Terrakion (Poke Ball Pattern),Terrakion Poke Ball Pattern,054/086,Rare,Fighting,140,Basic,Holofoil,0.48,0.15,0.5,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642166,Terrakion,Terrakion,054/086,Rare,Fighting,140,Basic,Reverse Holofoil,0.21,0.05,0.22,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642337,Purrloin (Master Ball Pattern),Purrloin Master Ball Pattern,055/086,Common,Darkness,60,Basic,Holofoil,2.32,1.25,2.5,3.0
Scarlet & Violet,SV: White Flare,WHT,24326,642409,Purrloin (Poke Ball Pattern),Purrloin Poke Ball Pattern,055/086,Common,Darkness,60,Basic,Holofoil,0.28,0.1,0.29,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642167,Purrloin,Purrloin,055/086,Common,Darkness,60,Basic,Normal,0.18,0.01,0.17,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642167,Purrloin,Purrloin,055/086,Common,Darkness,60,Basic,Reverse Holofoil,0.23,0.02,0.22,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642338,Liepard (Master Ball Pattern),Liepard Master Ball Pattern,056/086,Uncommon,Darkness,110,Stage 1,Holofoil,11.7,10.0,13.43,13.0
Scarlet & Violet,SV: White Flare,WHT,24326,642410,Liepard (Poke Ball Pattern),Liepard Poke Ball Pattern,056/086,Uncommon,Darkness,110,Stage 1,Holofoil,0.5,0.19,0.58,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642168,Liepard,Liepard,056/086,Uncommon,Darkness,110,Stage 1,Normal,0.04,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642168,Liepard,Liepard,056/086,Uncommon,Darkness,110,Stage 1,Reverse Holofoil,0.2,0.05,0.21,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642339,Scraggy (Master Ball Pattern),Scraggy Master Ball Pattern,057/086,Common,Darkness,70,Basic,Holofoil,2.02,1.0,3.0,2.5
Scarlet & Violet,SV: White Flare,WHT,24326,642411,Scraggy (Poke Ball Pattern),Scraggy Poke Ball Pattern,057/086,Common,Darkness,70,Basic,Holofoil,0.25,0.05,0.3,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642169,Scraggy,Scraggy,057/086,Common,Darkness,70,Basic,Normal,0.1,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642169,Scraggy,Scraggy,057/086,Common,Darkness,70,Basic,Reverse Holofoil,0.15,0.03,0.19,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642340,Scrafty (Master Ball Pattern),Scrafty Master Ball Pattern,058/086,Uncommon,Darkness,120,Stage 1,Holofoil,9.29,8.0,11.9,10.5
Scarlet & Violet,SV: White Flare,WHT,24326,642412,Scrafty (Poke Ball Pattern),Scrafty Poke Ball Pattern,058/086,Uncommon,Darkness,120,Stage 1,Holofoil,0.52,0.2,0.5,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642170,Scrafty,Scrafty,058/086,Uncommon,Darkness,120,Stage 1,Normal,0.13,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642170,Scrafty,Scrafty,058/086,Uncommon,Darkness,120,Stage 1,Reverse Holofoil,0.26,0.1,0.26,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642341,Trubbish (Master Ball Pattern),Trubbish Master Ball Pattern,059/086,Common,Darkness,70,Basic,Holofoil,2.45,2.3,3.14,3.0
Scarlet & Violet,SV: White Flare,WHT,24326,642413,Trubbish (Poke Ball Pattern),Trubbish Poke Ball Pattern,059/086,Common,Darkness,70,Basic,Holofoil,0.32,0.08,0.34,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642171,Trubbish,Trubbish,059/086,Common,Darkness,70,Basic,Normal,0.2,0.01,0.18,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642171,Trubbish,Trubbish,059/086,Common,Darkness,70,Basic,Reverse Holofoil,0.22,0.03,0.22,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642342,Garbodor (Master Ball Pattern),Garbodor Master Ball Pattern,060/086,Uncommon,Darkness,140,Stage 1,Holofoil,8.87,8.83,12.75,10.0
Scarlet & Violet,SV: White Flare,WHT,24326,642414,Garbodor (Poke Ball Pattern),Garbodor Poke Ball Pattern,060/086,Uncommon,Darkness,140,Stage 1,Holofoil,0.55,0.19,0.6,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642172,Garbodor,Garbodor,060/086,Uncommon,Darkness,140,Stage 1,Normal,0.07,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642172,Garbodor,Garbodor,060/086,Uncommon,Darkness,140,Stage 1,Reverse Holofoil,0.15,0.04,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642343,Zorua (Master Ball Pattern),Zorua Master Ball Pattern,061/086,Common,Darkness,70,Basic,Holofoil,3.39,2.63,3.5,4.0
Scarlet & Violet,SV: White Flare,WHT,24326,642415,Zorua (Poke Ball Pattern),Zorua Poke Ball Pattern,061/086,Common,Darkness,70,Basic,Holofoil,0.73,0.35,0.75,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642173,Zorua,Zorua,061/086,Common,Darkness,70,Basic,Normal,0.17,0.01,0.17,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642173,Zorua,Zorua,061/086,Common,Darkness,70,Basic,Reverse Holofoil,0.24,0.01,0.24,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642174,Zoroark,Zoroark,062/086,Rare,Darkness,120,Stage 1,Holofoil,0.16,0.01,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642344,Zoroark (Master Ball Pattern),Zoroark Master Ball Pattern,062/086,Rare,Darkness,120,Stage 1,Holofoil,15.99,13.34,16.99,18.0
Scarlet & Violet,SV: White Flare,WHT,24326,642416,Zoroark (Poke Ball Pattern),Zoroark Poke Ball Pattern,062/086,Rare,Darkness,120,Stage 1,Holofoil,0.72,0.2,0.79,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642174,Zoroark,Zoroark,062/086,Rare,Darkness,120,Stage 1,Reverse Holofoil,0.23,0.04,0.25,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642681,Vullaby (Master Ball Pattern),Vullaby Master Ball Pattern,063/086,Common,Darkness,70,Basic,Holofoil,2.33,1.0,2.46,3.0
Scarlet & Violet,SV: White Flare,WHT,24326,642754,Vullaby (Poke Ball Pattern),Vullaby Poke Ball Pattern,063/086,Common,Darkness,70,Basic,Holofoil,0.43,0.24,0.47,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642512,Vullaby,Vullaby,063/086,Common,Darkness,70,Basic,Normal,0.05,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642512,Vullaby,Vullaby,063/086,Common,Darkness,70,Basic,Reverse Holofoil,0.13,0.01,0.19,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642682,Mandibuzz (Master Ball Pattern),Mandibuzz Master Ball Pattern,064/086,Uncommon,Darkness,110,Stage 1,Holofoil,10.53,10.0,13.84,12.0
Scarlet & Violet,SV: White Flare,WHT,24326,642755,Mandibuzz (Poke Ball Pattern),Mandibuzz Poke Ball Pattern,064/086,Uncommon,Darkness,110,Stage 1,Holofoil,0.51,0.3,0.53,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642513,Mandibuzz,Mandibuzz,064/086,Uncommon,Darkness,110,Stage 1,Normal,0.03,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642513,Mandibuzz,Mandibuzz,064/086,Uncommon,Darkness,110,Stage 1,Reverse Holofoil,0.21,0.05,0.24,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642345,Deino (Master Ball Pattern),Deino Master Ball Pattern,065/086,Common,Darkness,80,Basic,Holofoil,2.35,1.44,3.0,3.0
Scarlet & Violet,SV: White Flare,WHT,24326,642417,Deino (Poke Ball Pattern),Deino Poke Ball Pattern,065/086,Common,Darkness,80,Basic,Holofoil,0.71,0.34,0.71,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642175,Deino,Deino,065/086,Common,Darkness,80,Basic,Normal,0.09,0.01,0.13,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642175,Deino,Deino,065/086,Common,Darkness,80,Basic,Reverse Holofoil,0.15,0.04,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642346,Zweilous (Master Ball Pattern),Zweilous Master Ball Pattern,066/086,Common,Darkness,110,Stage 1,Holofoil,9.4,9.17,10.85,10.5
Scarlet & Violet,SV: White Flare,WHT,24326,642418,Zweilous (Poke Ball Pattern),Zweilous Poke Ball Pattern,066/086,Common,Darkness,110,Stage 1,Holofoil,0.45,0.23,0.53,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642176,Zweilous,Zweilous,066/086,Common,Darkness,110,Stage 1,Normal,0.07,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642176,Zweilous,Zweilous,066/086,Common,Darkness,110,Stage 1,Reverse Holofoil,0.11,0.01,0.19,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642177,Hydreigon ex,Hydreigon ex,067/086,Double Rare,Darkness,330,Stage 2,Holofoil,0.61,0.2,0.78,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642347,Ferroseed (Master Ball Pattern),Ferroseed Master Ball Pattern,068/086,Common,Metal,70,Basic,Holofoil,1.82,1.2,1.9,2.5
Scarlet & Violet,SV: White Flare,WHT,24326,642419,Ferroseed (Poke Ball Pattern),Ferroseed Poke Ball Pattern,068/086,Common,Metal,70,Basic,Holofoil,0.25,0.01,0.29,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642178,Ferroseed,Ferroseed,068/086,Common,Metal,70,Basic,Normal,0.03,0.01,0.12,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642178,Ferroseed,Ferroseed,068/086,Common,Metal,70,Basic,Reverse Holofoil,0.24,0.02,0.24,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642348,Ferrothorn (Master Ball Pattern),Ferrothorn Master Ball Pattern,069/086,Uncommon,Metal,140,Stage 1,Holofoil,8.8,7.95,9.99,10.0
Scarlet & Violet,SV: White Flare,WHT,24326,642420,Ferrothorn (Poke Ball Pattern),Ferrothorn Poke Ball Pattern,069/086,Uncommon,Metal,140,Stage 1,Holofoil,0.42,0.21,0.46,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642179,Ferrothorn,Ferrothorn,069/086,Uncommon,Metal,140,Stage 1,Normal,0.08,0.01,0.13,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642179,Ferrothorn,Ferrothorn,069/086,Uncommon,Metal,140,Stage 1,Reverse Holofoil,0.29,0.05,0.28,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642352,Durant (Master Ball Pattern),Durant Master Ball Pattern,070/086,Uncommon,Metal,110,Basic,Holofoil,25.38,25.0,30.24,28.0
Scarlet & Violet,SV: White Flare,WHT,24326,642424,Durant (Poke Ball Pattern),Durant Poke Ball Pattern,070/086,Uncommon,Metal,110,Basic,Holofoil,0.53,0.1,0.53,1.0
Scarlet & Violet,SV: White Flare,WHT,24326,642183,Durant,Durant,070/086,Uncommon,Metal,110,Basic,Normal,0.17,0.01,0.19,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642183,Durant,Durant,070/086,Uncommon,Metal,110,Basic,Reverse Holofoil,0.23,0.01,0.24,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642353,Druddigon (Master Ball Pattern),Druddigon Master Ball Pattern,071/086,Uncommon,Dragon,120,Basic,Holofoil,7.68,9.5,13.74,8.5
Scarlet & Violet,SV: White Flare,WHT,24326,642425,Druddigon (Poke Ball Pattern),Druddigon Poke Ball Pattern,071/086,Uncommon,Dragon,120,Basic,Holofoil,0.41,0.2,0.5,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642184,Druddigon,Druddigon,071/086,Uncommon,Dragon,120,Basic,Normal,0.05,0.01,0.15,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642184,Druddigon,Druddigon,071/086,Uncommon,Dragon,120,Basic,Reverse Holofoil,0.17,0.06,0.2,0.5
Scarlet & Violet,SV: White Flare,WHT,24326,642354,Patrat (Master Ball Pattern),Patrat Master Ball Pattern,072/086,Common,Colorless,60,Basic,Holofoil,1.78,1.0,2.0,2.0
