id,set,card_number,variant,name,price_zar
31549,N4,57,N,Unown [C] (Normal),
31550,N4,58,1E,Unown [P] (1st Edition),
31551,N4,58,N,Unown [P] (Normal),
31552,N4,59,1E,Unown [Q] (1st Edition),
31553,N4,59,N,Unown [Q] (Normal),
31554,N4,60,1E,Unown [Z] (1st Edition),
31555,N4,60,N,Unown [Z] (Normal),
31556,N4,61,1E,Cyndaquil (1st Edition),
31557,N4,61,N,Cyndaquil (Normal),
31558,N4,62,1E,Dark Octillery (1st Edition),
31559,N4,62,N,Dark Octillery (Normal),
31560,N4,63,1E,Dratini (1st Edition),
31561,N4,63,N,Dratini (Normal),
31562,N4,64,1E,Exeggcute (1st Edition),
31563,N4,64,N,Exeggcute (Normal),
31564,N4,65,1E,Gastly (1st Edition),
31565,N4,65,N,Gastly (Normal),
31566,N4,66,1E,Girafarig (1st Edition),
31567,N4,66,N,Girafarig (Normal),
31568,N4,67,1E,Gligar (1st Edition),
31569,N4,67,N,Gligar (Normal),
31570,N4,68,1E,Growlithe (1st Edition),
31571,N4,68,N,Growlithe (Normal),
31572,N4,69,1E,Hitmonchan (1st Edition),
31573,N4,69,N,Hitmonchan (Normal),
31574,N4,70,1E,Larvitar (1st Edition),
31575,N4,70,N,Larvitar (Normal),
31576,N4,71,1E,Ledyba (1st Edition),
31577,N4,71,N,Ledyba (Normal),
31578,N4,72,1E,Light Sunflora (1st Edition),
31579,N4,72,N,Light Sunflora (Normal),
31580,N4,73,1E,Machop (1st Edition),
31581,N4,73,N,Machop (Normal),
31582,N4,74,1E,Mantine (1st Edition),
31583,N4,74,N,Mantine (Normal),
31584,N4,75,1E,Mareep (1st Edition),
31585,N4,75,N,Mareep (Normal),
31586,N4,76,1E,Phanpy (1st Edition),
31587,N4,76,N,Phanpy (Normal),
31588,N4,77,1E,Pineco (1st Edition),
31589,N4,77,N,Pineco (Normal),
31590,N4,78,1E,Porygon (1st Edition),
31591,N4,78,N,Porygon (Normal),
31592,N4,79,1E,Psyduck (1st Edition),
31593,N4,79,N,Psyduck (Normal),
31594,N4,80,1E,Remoraid (1st Edition),
31595,N4,80,N,Remoraid (Normal),
31596,N4,81,1E,Seel (1st Edition),
31597,N4,81,N,Seel (Normal),
31598,N4,82,1E,Slugma (1st Edition),
31599,N4,82,N,Slugma (Normal),
31600,N4,83,1E,Sunkern (1st Edition),
31601,N4,83,N,Sunkern (Normal),
31602,N4,84,1E,Swinub (1st Edition),
31603,N4,84,N,Swinub (Normal),
31604,N4,85,1E,Totodile (1st Edition),
31605,N4,85,N,Totodile (Normal),
31606,N4,86,1E,Unown [L] (1st Edition),
31607,N4,86,N,Unown [L] (Normal),
31608,N4,87,1E,Unown [S] (1st Edition),
31609,N4,87,N,Unown [S] (Normal),
31610,N4,88,1E,Unown [T] (1st Edition),
31611,N4,88,N,Unown [T] (Normal),
31612,N4,89,1E,Unown [V] (1st Edition),
31613,N4,89,N,Unown [V] (Normal),
31614,N4,90,1E,Venonat (1st Edition),
31615,N4,90,N,Venonat (Normal),
31616,N4,91,1E,Vulpix (1st Edition),
31617,N4,91,N,Vulpix (Normal),
31618,N4,92,1E,Broken Ground Gym (1st Edition),
31619,N4,92,N,Broken Ground Gym (Normal),
31620,N4,93,1E,EXP.ALL (1st Edition),
31621,N4,93,N,EXP.ALL (Normal),
31622,N4,94,1E,Impostor Professor Oak's Invention (1st Edition),
31623,N4,94,N,Impostor Professor Oak's Invention (Normal),
31624,N4,95,1E,Radio Tower (1st Edition),
31625,N4,95,N,Radio Tower (Normal),
31628,N4,97,1E,Counterattack Claws (1st Edition),
31629,N4,97,N,Counterattack Claws (Normal),
31630,N4,98,1E,Energy Amplifier (1st Edition),
31631,N4,98,N,Energy Amplifier (Normal),
31632,N4,99,1E,Energy Stadium (1st Edition),
31633,N4,99,N,Energy Stadium (Normal),
31634,N4,100,1E,Lucky Stadium (1st Edition),
31635,N4,100,N,Lucky Stadium (Normal),
31636,N4,101,1E,Magnifier (1st Edition),
31637,N4,101,N,Magnifier (Normal),
31638,N4,102,1E,Pokémon Personality Test (1st Edition),
31639,N4,102,N,Pokémon Personality Test (Normal),
31640,N4,103,1E,Team Rocket's Evil Deeds (1st Edition),
31641,N4,103,N,Team Rocket's Evil Deeds (Normal),
31642,N4,104,1E,Heal Powder (1st Edition),
31643,N4,104,N,Heal Powder (Normal),
31644,N4,105,1E,Mail from Bill (1st Edition),
31645,N4,105,N,Mail from Bill (Normal),
31646,N4,106,1E,Shining Celebi (1st Edition),
31647,N4,106,N,Shining Celebi (Normal),
31648,N4,107,1E,Shining Charizard (1st Edition),
31649,N4,107,N,Shining Charizard (Normal),
31650,N4,108,1E,Shining Kabutops (1st Edition),
31651,N4,108,N,Shining Kabutops (Normal),
2051,N4,109,,Shining Mewtwo,
31652,N4,109,SHN,Shining Mewtwo,
31653,N4,110,SHN,Shining Noctowl,
31654,N4,111,SHN,Shining Raichu,
31655,N4,112,SHN,Shining Steelix,
66645,PL,4,N,Lotad (Normal),
62462,POP4,5,RH,Sceptile (Reverse Holo),
62504,POP4,17,RH,Deoxys ex (Reverse Holo),
62569,POP5,16,RH,Espeon ★ (Reverse Holo),
62573,POP5,17,RH,Umbreon ★ (Reverse Holo),
54737,PR,1,N,Pikachu (Normal),
54738,PR,1,RH,Pikachu (Reverse Holo),
54748,PR,3,RH,Mewtwo (Reverse Holo),
54756,PR,4,RH,Pikachu (Reverse Holo),
54758,PR,5,RH,Dragonite (Reverse Holo),
54784,PR,12,RH,Mewtwo (Reverse Holo),
54788,PR,14,RH,Mewtwo (Reverse Holo),
54792,PR,16,RH,Computer Error (Reverse Holo),
54820,PR,22,RH,Articuno (Reverse Holo),
54827,PR,24,N,_____'s Pikachu (Normal),
54828,PR,24,RH,_____'s Pikachu (Reverse Holo),
54836,PR,26,RH,Pikachu (Reverse Holo),
54838,PR,27,RH,Pikachu (Reverse Holo),
54888,PR,40,RH,Pokémon Center (Reverse Holo),
54896,PR,42,RH,Pokémon Tower (Reverse Holo),
54922,PR,48,RH,Articuno (Reverse Holo),
54930,PR,51,RH,Rapidash (Reverse Holo),
68178,PR-BLW,15,RH,Pidove (Reverse Holo),
68232,PR-BLW,28,N,Tropical Beach (Normal),
68233,PR-BLW,28,RH,Tropical Beach (Reverse Holo),
68245,PR-BLW,32,N,Victini (Normal),
68246,PR-BLW,32,RH,Victini (Reverse Holo),
68259,PR-BLW,36,N,Reshiram-EX (Normal),
68260,PR-BLW,36,RH,Reshiram-EX (Reverse Holo),
68263,PR-BLW,37,N,Kyurem-EX (Normal),
68264,PR-BLW,37,RH,Kyurem-EX (Reverse Holo),
68265,PR-BLW,38,N,Zekrom-EX (Normal),
68266,PR-BLW,38,RH,Zekrom-EX (Reverse Holo),
68291,PR-BLW,45,N,Mewtwo-EX (Normal),
68292,PR-BLW,45,RH,Mewtwo-EX (Reverse Holo),
68295,PR-BLW,46,N,Darkrai-EX (Normal),
68296,PR-BLW,46,RH,Darkrai-EX (Reverse Holo),
68299,PR-BLW,47,N,Rayquaza-EX (Normal),
68300,PR-BLW,47,RH,Rayquaza-EX (Reverse Holo),
68312,PR-BLW,50,RH,Tropical Beach (Reverse Holo),
68356,PR-BLW,61,N,Keldeo-EX (Normal),
68357,PR-BLW,61,RH,Keldeo-EX (Reverse Holo),
68360,PR-BLW,62,N,Black Kyurem-EX (Normal),
68361,PR-BLW,62,RH,Black Kyurem-EX (Reverse Holo),
68363,PR-BLW,63,N,White Kyurem-EX (Normal),
68364,PR-BLW,63,RH,White Kyurem-EX (Reverse Holo),
68399,PR-BLW,73,N,Darkrai (Normal),
68400,PR-BLW,73,RH,Darkrai (Reverse Holo),
68403,PR-BLW,74,N,Giratina (Normal),
68404,PR-BLW,74,RH,Giratina (Reverse Holo),
68411,PR-BLW,76,N,Electrode (Normal),
68412,PR-BLW,76,RH,Electrode (Reverse Holo),
68419,PR-BLW,78,N,Raichu (Normal),
68420,PR-BLW,78,RH,Raichu (Reverse Holo),
68425,PR-BLW,80,N,Druddigon (Normal),
68426,PR-BLW,80,RH,Druddigon (Reverse Holo),
68429,PR-BLW,81,N,Thundurus-EX (Normal),
68430,PR-BLW,81,RH,Thundurus-EX (Reverse Holo),
68432,PR-BLW,82,N,Deoxys-EX (Normal),
68433,PR-BLW,82,RH,Deoxys-EX (Reverse Holo),
68435,PR-BLW,83,N,Lugia-EX (Normal),
68436,PR-BLW,83,RH,Lugia-EX (Reverse Holo),
68439,PR-BLW,84,N,Porygon-Z (Normal),
68440,PR-BLW,84,RH,Porygon-Z (Reverse Holo),
68480,PR-BLW,95,N,Champions Festival (Normal),
68481,PR-BLW,95,RH,Champions Festival (Reverse Holo),
68484,PR-BLW,96,N,Tornadus-EX (Normal),
68485,PR-BLW,96,RH,Tornadus-EX (Reverse Holo),
68500,PR-BLW,100,N,N (Normal),
68501,PR-BLW,100,RH,N (Reverse Holo),
63435,PR-DPP,15,N,Shinx (Normal),
63436,PR-DPP,15,RH,Shinx (Reverse Holo),
63575,PR-DPP,53,N,Arceus LV.X (Normal),
63576,PR-DPP,53,RH,Arceus LV.X (Reverse Holo),
63579,PR-DPP,54,N,Beginning Door (Normal),
63580,PR-DPP,54,RH,Beginning Door (Reverse Holo),
63583,PR-DPP,55,N,Ultimate Zone (Normal),
63584,PR-DPP,55,RH,Ultimate Zone (Reverse Holo),
68821,PR-SM,54,N,Lucario (Normal),
68822,PR-SM,54,RH,Lucario (Reverse Holo),
68918,PR-SM,78,RH,Champions Festival (Reverse Holo),
68940,PR-SM,88,N,Latios (Normal),
68941,PR-SM,88,RH,Latios (Reverse Holo),
68964,PR-SM,95,N,Lucario (Normal),
68965,PR-SM,95,RH,Lucario (Reverse Holo),
69153,PR-SM,148,RH,Champions Festival (Reverse Holo),
69438,PR-SM,231,RH,Champions Festival (Reverse Holo),
43766,PR-SV,13,N,Miraidon (Normal),
43767,PR-SV,13,RH,Miraidon (Reverse Holo),
43922,PR-SV,92,N,Miraidon (Normal),
43923,PR-SV,92,RH,Miraidon (Reverse Holo),
43950,PR-SV,106,N,Pikachu ex (Normal),
43951,PR-SV,106,RH,Pikachu ex (Reverse Holo),
43952,PR-SV,107,N,Mareep (Normal),
43953,PR-SV,107,RH,Mareep (Reverse Holo),
43956,PR-SV,109,N,Ampharos (Normal),
43957,PR-SV,109,RH,Ampharos (Reverse Holo),
43958,PR-SV,110,N,Darkrai ex (Normal),
43959,PR-SV,110,RH,Darkrai ex (Reverse Holo),
43960,PR-SV,111,N,Pawniard (Normal),
43961,PR-SV,111,RH,Pawniard (Reverse Holo),
43962,PR-SV,112,N,Bisharp (Normal),
43963,PR-SV,112,RH,Bisharp (Reverse Holo),
44010,PR-SV,136,N,Bouffalant (Normal),
44011,PR-SV,136,RH,Bouffalant (Reverse Holo),
44034,PR-SV,148,N,Miraidon (Normal),
44035,PR-SV,148,RH,Miraidon (Reverse Holo),
74023,PR-SW,132,N,Dragapult (Normal),
74024,PR-SW,132,RH,Dragapult (Reverse Holo),
74037,PR-SW,135,N,Zacian LV.X (Normal),
74038,PR-SW,135,RH,Zacian LV.X (Reverse Holo),
74043,PR-SW,136,N,Mimikyu δ (Normal),
74044,PR-SW,136,RH,Mimikyu δ (Reverse Holo),
74049,PR-SW,138,N,Hydreigon C (Normal),
74050,PR-SW,138,RH,Hydreigon C (Reverse Holo),
74076,PR-SW,144,N,Greninja ★ (Normal),
74077,PR-SW,144,RH,Greninja ★ (Reverse Holo),
74086,PR-SW,146,N,Poké Ball (Normal),
74087,PR-SW,146,RH,Poké Ball (Reverse Holo),
66351,PR-SW,226,N,Spark (Normal),
66352,PR-SW,226,RH,Spark (Reverse Holo),
74318,PR-SW,240,N,Finneon (Normal),
74319,PR-SW,240,RH,Finneon (Reverse Holo),
20460,PR-XY,7,N,Xerneas-EX (Normal),
20461,PR-XY,7,RH,Xerneas-EX (Reverse Holo),
20462,PR-XY,8,N,Yveltal-EX (Normal),
20463,PR-XY,8,RH,Yveltal-EX (Reverse Holo),
20464,PR-XY,9,N,Garchomp-EX (Normal),
20465,PR-XY,9,RH,Garchomp-EX (Reverse Holo),
20480,PR-XY,17,N,Charizard-EX (Normal),
20481,PR-XY,17,RH,Charizard-EX (Reverse Holo),
20482,PR-XY,18,N,Chesnaught-EX (Normal),
20483,PR-XY,18,RH,Chesnaught-EX (Reverse Holo),
20484,PR-XY,19,N,Delphox-EX (Normal),
20485,PR-XY,19,RH,Delphox-EX (Reverse Holo),
20486,PR-XY,20,N,Greninja-EX (Normal),
20487,PR-XY,20,RH,Greninja-EX (Reverse Holo),
20496,PR-XY,25,N,Krookodile-EX (Normal),
20497,PR-XY,25,RH,Krookodile-EX (Reverse Holo),
20502,PR-XY,28,N,Venusaur-EX (Normal),
20503,PR-XY,28,RH,Venusaur-EX (Reverse Holo),
20504,PR-XY,29,N,Charizard-EX (Normal),
20505,PR-XY,29,RH,Charizard-EX (Reverse Holo),
20506,PR-XY,30,N,Blastoise-EX (Normal),
20507,PR-XY,30,RH,Blastoise-EX (Reverse Holo),
20516,PR-XY,35,N,M Metagross-EX (Normal),
20517,PR-XY,35,RH,M Metagross-EX (Reverse Holo),
20528,PR-XY,41,N,Kyogre-EX (Normal),
20529,PR-XY,41,RH,Kyogre-EX (Reverse Holo),
20530,PR-XY,42,N,Groudon-EX (Normal),
20531,PR-XY,42,RH,Groudon-EX (Reverse Holo),
20532,PR-XY,43,N,Diancie-EX (Normal),
20533,PR-XY,43,RH,Diancie-EX (Reverse Holo),
20534,PR-XY,44,N,M Diancie-EX (Normal),
20535,PR-XY,44,RH,M Diancie-EX (Reverse Holo),
20536,PR-XY,45,N,Gallade-EX (Normal),
20537,PR-XY,45,RH,Gallade-EX (Reverse Holo),
20552,PR-XY,53,N,Sceptile-EX (Normal),
20553,PR-XY,53,RH,Sceptile-EX (Reverse Holo),
20554,PR-XY,54,N,Blaziken-EX (Normal),
20555,PR-XY,54,RH,Blaziken-EX (Reverse Holo),
20556,PR-XY,55,N,Swampert-EX (Normal),
20557,PR-XY,55,RH,Swampert-EX (Reverse Holo),
20568,PR-XY,61,N,Flygon-EX (Normal),
20569,PR-XY,61,RH,Flygon-EX (Reverse Holo),
20570,PR-XY,62,N,Absol-EX (Normal),
20571,PR-XY,62,RH,Absol-EX (Reverse Holo),
20572,PR-XY,63,N,M Absol-EX (Normal),
20573,PR-XY,63,RH,M Absol-EX (Reverse Holo),
20578,PR-XY,66,N,Rayquaza-EX (Normal),
20579,PR-XY,66,RH,Rayquaza-EX (Reverse Holo),
20586,PR-XY,69,N,Rayquaza-EX (Normal),
20587,PR-XY,69,RH,Rayquaza-EX (Reverse Holo),
20588,PR-XY,70,N,Tyrantrum-EX (Normal),
20589,PR-XY,70,RH,Tyrantrum-EX (Reverse Holo),
20590,PR-XY,71,N,Hoopa-EX (Normal),
20591,PR-XY,71,RH,Hoopa-EX (Reverse Holo),
20592,PR-XY,72,N,Latios-EX (Normal),
20593,PR-XY,72,RH,Latios-EX (Reverse Holo),
20594,PR-XY,73,N,Rayquaza-EX (Normal),
20595,PR-XY,73,RH,Rayquaza-EX (Reverse Holo),
20596,PR-XY,74,N,Reshiram (Normal),
20597,PR-XY,74,RH,Reshiram (Reverse Holo),
20598,PR-XY,75,N,Palkia (Normal),
20599,PR-XY,75,RH,Palkia (Reverse Holo),
20600,PR-XY,76,N,Zekrom (Normal),
20601,PR-XY,76,RH,Zekrom (Reverse Holo),
20602,PR-XY,77,N,Dialga (Normal),
20603,PR-XY,77,RH,Dialga (Reverse Holo),
20604,PR-XY,78,N,Latias (Normal),
20605,PR-XY,78,RH,Latias (Reverse Holo),
20612,PR-XY,82,N,Regigigas (Normal),
20613,PR-XY,82,RH,Regigigas (Reverse Holo),
20616,PR-XY,84,N,Pikachu-EX (Normal),
20617,PR-XY,84,RH,Pikachu-EX (Reverse Holo),
20618,PR-XY,85,N,Hoopa-EX (Normal),
20619,PR-XY,85,RH,Hoopa-EX (Reverse Holo),
20622,PR-XY,87,N,M Swampert-EX (Normal),
20623,PR-XY,87,RH,M Swampert-EX (Reverse Holo),
20642,PR-XY,97,N,Aerodactyl-EX (Normal),
20643,PR-XY,97,RH,Aerodactyl-EX (Reverse Holo),
20644,PR-XY,98,N,M Aerodactyl-EX (Normal),
20645,PR-XY,98,RH,M Aerodactyl-EX (Reverse Holo),
20652,PR-XY,102,N,Aurorus-EX (Normal),
20653,PR-XY,102,RH,Aurorus-EX (Reverse Holo),
20654,PR-XY,103,N,Mawile-EX (Normal),
20655,PR-XY,103,RH,Mawile-EX (Reverse Holo),
20656,PR-XY,104,N,M Mawile-EX (Normal),
20657,PR-XY,104,RH,M Mawile-EX (Reverse Holo),
20660,PR-XY,106,N,Gyarados-EX (Normal),
20661,PR-XY,106,RH,Gyarados-EX (Reverse Holo),
20662,PR-XY,107,N,Mewtwo-EX (Normal),
20663,PR-XY,107,RH,Mewtwo-EX (Reverse Holo),
20664,PR-XY,108,N,Machamp-EX (Normal),
20665,PR-XY,108,RH,Machamp-EX (Reverse Holo),
20690,PR-XY,121,N,Charizard-EX (Normal),
20691,PR-XY,121,RH,Charizard-EX (Reverse Holo),
20692,PR-XY,122,N,Blastoise-EX (Normal),
20693,PR-XY,122,RH,Blastoise-EX (Reverse Holo),
20694,PR-XY,123,N,Venusaur-EX (Normal),
20695,PR-XY,123,RH,Venusaur-EX (Reverse Holo),
20696,PR-XY,124,N,Pikachu-EX (Normal),
20697,PR-XY,124,RH,Pikachu-EX (Reverse Holo),
20698,PR-XY,125,N,Mewtwo-EX (Normal),
20699,PR-XY,125,RH,Mewtwo-EX (Reverse Holo),
20700,PR-XY,126,N,Mew-EX (Normal),
20701,PR-XY,126,RH,Mew-EX (Reverse Holo),
20714,PR-XY,133,N,Ash-Greninja-EX (Normal),
20715,PR-XY,133,RH,Ash-Greninja-EX (Reverse Holo),
20744,PR-XY,148,N,Shaymin-EX (Normal),
20745,PR-XY,148,RH,Shaymin-EX (Reverse Holo),
20746,PR-XY,149,N,Xerneas-EX (Normal),
20747,PR-XY,149,RH,Xerneas-EX (Reverse Holo),
20750,PR-XY,150,N,Yveltal-EX (Normal),
20751,PR-XY,150,RH,Yveltal-EX (Reverse Holo),
20752,PR-XY,151,N,Zygarde-EX (Normal),
20753,PR-XY,151,RH,Zygarde-EX (Reverse Holo),
20764,PR-XY,157,N,Beedrill-EX (Normal),
20765,PR-XY,157,RH,Beedrill-EX (Reverse Holo),
20766,PR-XY,158,N,M Beedrill-EX (Normal),
20767,PR-XY,158,RH,M Beedrill-EX (Reverse Holo),
20782,PR-XY,166,N,M Gengar-EX (Normal),
20783,PR-XY,166,RH,M Gengar-EX (Reverse Holo),
20784,PR-XY,167,N,Garchomp-EX (Normal),
20785,PR-XY,167,RH,Garchomp-EX (Reverse Holo),
20786,PR-XY,168,N,M Garchomp-EX (Normal),
20787,PR-XY,168,RH,M Garchomp-EX (Reverse Holo),
20790,PR-XY,170,N,Salamence-EX (Normal),
20791,PR-XY,170,RH,Salamence-EX (Reverse Holo),
20792,PR-XY,171,N,M Salamence-EX (Normal),
20793,PR-XY,171,RH,M Salamence-EX (Reverse Holo),
20796,PR-XY,173,N,Volcanion-EX (Normal),
20797,PR-XY,173,RH,Volcanion-EX (Reverse Holo),
20798,PR-XY,174,N,Pikachu-EX (Normal),
20799,PR-XY,174,RH,Pikachu-EX (Reverse Holo),
20800,PR-XY,175,N,Magearna-EX (Normal),
20801,PR-XY,175,RH,Magearna-EX (Reverse Holo),
20818,PR-XY,183,N,Mewtwo-EX (Normal),
20819,PR-XY,183,RH,Mewtwo-EX (Reverse Holo),
20850,PR-XY,198,N,M Camerupt-EX (Normal),
20851,PR-XY,198,RH,M Camerupt-EX (Reverse Holo),
20856,PR-XY,200,N,M Sharpedo-EX (Normal),
20857,PR-XY,200,RH,M Sharpedo-EX (Reverse Holo),
20864,PR-XY,204,N,Gym Badge (Normal),
20865,PR-XY,204,RH,Gym Badge (Reverse Holo),
20866,PR-XY,205,N,Gym Badge (Normal),
20867,PR-XY,205,RH,Gym Badge (Reverse Holo),
20868,PR-XY,206,N,Gym Badge (Normal),
20869,PR-XY,206,RH,Gym Badge (Reverse Holo),
20870,PR-XY,207,N,Gym Badge (Normal),
20871,PR-XY,207,RH,Gym Badge (Reverse Holo),
20872,PR-XY,208,N,Gym Badge (Normal),
20873,PR-XY,208,RH,Gym Badge (Reverse Holo),
20874,PR-XY,209,N,Gym Badge (Normal),
20875,PR-XY,209,RH,Gym Badge (Reverse Holo),
20876,PR-XY,210,N,Gym Badge (Normal),
20877,PR-XY,210,RH,Gym Badge (Reverse Holo),
67106,RR,1,N,Fan Rotom (Normal),
67110,RR,2,N,Frost Rotom (Normal),
67116,RR,3,N,Heat Rotom (Normal),
67123,RR,5,N,Wash Rotom (Normal),
67125,RR,6,N,Charon's Choice (Normal),
66150,SF,2,N,Duskull (Normal),
66153,SF,3,N,Voltorb (Normal),
49625,SK,1,H,Alakazam (Holo),
49626,SK,1,RH-H,Alakazam (Reverse Holo),
56969,SK,21,RH-H,Nidoqueen (Reverse Holo),
56973,SK,23,RH-H,Politoed (Reverse Holo),
56985,SK,28,RH-H,Starmie (Reverse Holo),
41303,SUM,164,N,Grass Energy (Normal),
41304,SUM,164,RH,Grass Energy (Reverse Holo),
41305,SUM,165,N,Fire Energy (Normal),
41306,SUM,165,RH,Fire Energy (Reverse Holo),
41307,SUM,166,N,Water Energy (Normal),
41308,SUM,166,RH,Water Energy (Reverse Holo),
41309,SUM,167,N,Lightning Energy (Normal),
41310,SUM,167,RH,Lightning Energy (Reverse Holo),
41311,SUM,168,N,Psychic Energy (Normal),
41312,SUM,168,RH,Psychic Energy (Reverse Holo),
41313,SUM,169,N,Fighting Energy (Normal),
41314,SUM,169,RH,Fighting Energy (Reverse Holo),
41315,SUM,170,N,Darkness Energy (Normal),
41316,SUM,170,RH,Darkness Energy (Reverse Holo),
41317,SUM,171,N,Metal Energy (Normal),
41318,SUM,171,RH,Metal Energy (Reverse Holo),
41319,SUM,172,N,Fairy Energy (Normal),
41320,SUM,172,RH,Fairy Energy (Reverse Holo),
67686,SV,7,N,Milotic (Normal),
67689,SV,8,N,Relicanth (Normal),
67692,SV,9,N,Yanma (Normal),
85147,SV3PT5,34,N,Nidoking (Normal),
85318,SV3PT5,122,N,Mr. Mime (Normal),
58669,TRR,107,GS,Mudkip ★,
60021,UF,1,N,Unown (Normal),
60022,UF,1,RH,Unown (Reverse Holo),
